dataset library load_time load_mem aggr_time aggr_mem total_time
aucs multinet 0.022 24144 0.002 2248 0.024
aucs muxviz 0.478 81011672 0.098 2824768 0.576
aucs py3plex 0.02103400230407715 1507268 0.012084007263183594 188880 0.03311800956726074
aucs pymnet 0.017904996871948242 165100 0.010109901428222656 93030 0.0280148983001709
euair multinet 0.036 24144 0.015 2248 0.051
euair muxviz 0.398 81128184 0.043 2865616 0.441
euair py3plex 2.2169768810272217 367216525 0.21474814414978027 1633168 2.431725025177002
euair pymnet 0.06778907775878906 1177103 0.1329941749572754 801810 0.20078325271606445
ff multinet 0.0 0 0.0 0 0.0
ff muxviz 20.757 539460064 12.527 149716656 33.284
ff py3plex 251.22084212303162 19063237781 360.06572794914246 7052599792 611.2865700721741
ff pymnet 610.75488114357 4843282559 444.9443328380585 3724698946 1055.6992139816284
fftw multinet 0.0 0 0.0 0 0.0
fftw muxviz 11.749 411594472 7.378 92121792 19.127000000000002
fftw py3plex 140.44153308868408 11143079043 144.7309341430664 4086723104 285.1724672317505
fftw pymnet 291.4145529270172 3500352715 284.4205722808838 2230629314 575.835125207901
london multinet 0.013 24144 0.002 2248 0.015
london muxviz 0.393 81010584 0.028 2825368 0.42100000000000004
london py3plex 0.01159811019897461 2498780 0.010023117065429688 525671 0.021621227264404297
london pymnet 0.020226001739501953 204152 0.012785911560058594 246218 0.03301191329956055
