dataset library load_time load_mem degr_time degr_mem total_time
aucs mlgjl 5.087 0 0.001 0 5.088
aucs multinet 0.016 24144 0.0 2792 0.016
aucs muxviz 0.395 81011608 0.021 326952 0.41600000000000004
aucs netmem 0.027 1013912 0.015 62024 0.041999999999999996
aucs py3plex 0.028301000595092773 1507268 0.0025179386138916016 9995 0.030818939208984375
aucs pymnet 0.041153907775878906 165100 0.004831075668334961 6240 0.04598498344421387
euair mlgjl 74.081 0 0.028 0 74.10900000000001
euair multinet 0.032 24144 0.002 5640 0.034
euair muxviz 0.39 81128176 0.048 330064 0.438
euair netmem 117.96 0 0.0 0 117.96
euair py3plex 2.1736531257629395 367216525 0.08519291877746582 593919 2.2588460445404053
euair pymnet 0.06509113311767578 1177103 0.07590699195861816 9792 0.14099812507629395
ff mlgjl 0.0 0 0.0 0 0.0
ff multinet 0.0 0 0.0 0 0.0
ff muxviz 0.0 0 0.0 0 0.0
ff netmem 0.0 0 0.0 0 0.0
ff py3plex 270.35098481178284 19063237893 16.5278799533844 84760267 286.87886476516724
ff pymnet 599.8592028617859 4843282559 8.377804040908813 246352 608.2370069026947
fftw mlgjl 0.0 0 0.0 0 0.0
fftw multinet 331.349 24144 76.286 1247688 407.635
fftw muxviz 0.0 0 0.0 0 0.0
fftw netmem 0.0 0 0.0 0 0.0
fftw py3plex 136.43152403831482 11143079043 4.470513105392456 11075495 140.90203714370728
fftw pymnet 287.7900741100311 3500352715 1.6865150928497314 155032 289.47658920288086
london mlgjl 3.589 0 0.001 0 3.59
london multinet 0.013 24144 0.0 5256 0.013
london muxviz 0.388 81010520 0.018 329416 0.406
london netmem 0.445 10020240 0.075 68416 0.52
london py3plex 0.01156926155090332 2498780 0.0024099349975585938 38343 0.013979196548461914
london pymnet 0.027456045150756836 204152 0.005796194076538086 7852 0.03325223922729492
